#{"t_start": 1779522850.6272454, "env_id": "None"}
r,l,t
-104.262291,8,16.87057
-45.55555,8,16.879968
-39.418313,8,16.88869
-158.271283,8,16.902886
-113.516228,8,16.911163
-17.126074,8,16.917408
-37.810308,8,16.924412
-112.324008,8,16.93141
-121.837677,8,16.945238
-179.855167,8,16.95178
-53.522341,8,16.958935
-36.126112,8,16.966962
-37.863029,8,16.974067
-79.081123,8,16.981542
-61.241799,8,16.988201
-150.080319,8,16.995042
-145.801421,8,17.002164
-173.499677,8,17.013437
-118.244146,8,17.020243
-87.560513,8,17.028782
-59.929583,8,17.035745
-84.001211,8,17.050899
-137.264822,8,17.058451
-58.00955,8,17.065089
-39.369299,8,17.071729
-104.02073,8,17.07963
-43.601153,8,17.085523
-123.079522,8,17.092429
-99.531504,8,17.100361
-47.889454,8,17.106382
-223.859625,8,17.117047
-111.662041,8,17.290981
-42.779652,8,17.299549
-36.191349,8,17.312755
-29.064403,8,17.32013
-50.550736,8,17.331617
-104.539748,8,17.338207
-25.276135,8,17.346247
-24.661266,8,17.352544
-40.400217,8,17.358564
-171.888006,8,17.365562
-104.940206,8,17.37254
-68.576214,8,17.380778
-20.348438,8,17.388075
-137.476468,8,17.395521
-144.682851,8,17.401741
-29.535087,8,17.414684
-102.103021,8,17.421158
-28.287984,8,17.428874
-12.689516,8,17.435254
-38.681892,8,17.446271
-60.95025,8,17.452624
-224.421768,8,17.459622
-222.911865,8,17.466716
-69.029048,8,17.474627
-49.717121,8,17.480723
-105.454754,8,17.486995
-118.492135,8,17.494918
-143.463711,8,17.504609
-33.573744,8,17.513475
-68.642568,8,17.51986
-93.307995,8,17.526941
-150.113712,8,17.597065
-73.184796,8,17.819804
-65.524774,8,17.827857
-65.195764,8,17.835846
-43.240259,8,17.845399
-36.719936,8,17.862234
-95.464287,8,17.869721
-62.378804,8,17.871724
-83.474985,8,17.871724
-126.725581,8,17.900236
-27.930193,8,17.90855
-38.664028,8,17.914599
-12.347277,8,17.923676
-88.659063,8,17.931605
-21.884967,8,17.938387
-26.231412,8,17.946349
-48.754827,8,17.953354
-25.012398,8,17.961288
-29.124896,8,17.969391
-20.407316,8,17.977823
-81.044709,8,17.984433
-79.339259,8,17.999751
-22.970875,8,18.006744
-56.3465,8,18.014501
-10.863153,8,18.020323
-181.986638,8,18.027618
-53.088354,8,18.03347
0.268124,8,18.039317
-4.505893,8,18.046463
-29.578349,8,18.051467
-103.050021,8,18.057942
-10.372999,8,18.063947
-112.049935,8,18.070426
-57.345551,8,18.226266
-63.725327,8,18.232926
-19.507816,8,18.244513
-33.129689,8,18.252059
-177.438328,8,18.256072
-97.073512,8,18.266229
-143.116644,8,18.272235
-26.035729,8,18.279463
-127.178168,8,18.287043
-50.64516,8,18.295244
-75.191844,8,18.303208
-115.40613,8,18.311748
-184.170938,8,18.317496
-45.815191,8,18.332697
-199.9339,8,18.340354
-134.349538,8,18.34887
-73.494501,8,18.355863
-43.897763,8,18.362366
-78.536275,8,18.362366
-122.151371,8,18.377786
-60.528715,8,18.383807
-39.268903,8,18.391218
-11.265228,8,18.399768
-143.181136,8,18.407872
-101.857155,8,18.412371
-129.729633,8,18.415966
-48.252051,8,18.429106
-7.76142,8,18.429106
-112.524042,8,18.439918
-90.678207,8,18.459897
-207.087859,8,18.462369
-80.508694,8,18.479205
-89.101362,8,18.648373
-131.703017,8,18.654356
-135.890325,8,18.661117
-103.523901,8,18.66712
-13.141821,8,18.678798
-41.033204,8,18.686546
-51.361817,8,18.698668
-29.836336,8,18.709584
-83.026668,8,18.716466
-225.322887,8,18.724474
-152.001234,8,18.731503
-109.658308,8,18.738408
-110.143914,8,18.746614
-80.737497,8,18.755523
-51.37591,8,18.766563
-254.352714,8,18.777552
-62.210247,8,18.788469
-43.292047,8,18.797697
-101.17283,8,18.805634
-122.21565,8,18.817656
-42.217804,8,18.825777
-67.051369,8,18.832472
-42.319189,8,18.841471
-61.003737,8,18.854755
-156.079169,8,18.866611
-179.287375,8,18.878975
-21.78433,8,18.893878
-81.463024,8,18.903956
-77.099169,8,18.914891
-73.097722,8,18.927745
-126.039272,8,18.938777
-183.735234,8,18.952687
-58.328344,8,19.169016
-95.488945,8,19.173017
-38.3714,8,19.173017
-9.785399,8,19.189016
-194.248957,8,19.189016
-35.508083,8,19.189016
-46.30704,8,19.214004
-24.932242,8,19.220018
-42.272311,8,19.226033
-62.840857,8,19.234051
-22.189468,8,19.239362
-104.964186,8,19.247381
-138.140286,8,19.257396
-39.900371,8,19.263259
-146.372628,8,19.269266
-64.006922,8,19.275273
-39.579994,8,19.283022
-70.54378,8,19.28744
-50.404807,8,19.29493
-30.094113,8,19.301174
-38.860483,8,19.307905
-22.319484,8,19.317054
-99.000606,8,19.325986
-159.141059,8,19.332002
-39.106223,8,19.33996
1.294004,8,19.349329
-191.861335,8,19.355122
-32.404471,8,19.361134
-76.06318,8,19.36681
-38.059324,8,19.37082
-97.335278,8,19.378844
-62.861476,8,19.386868
-82.280562,8,19.555471
-102.587825,8,19.569637
-109.363832,8,19.575646
-48.813933,8,19.577649
-139.930447,8,19.589795
-157.99863,8,19.599745
-173.860417,8,19.599745
-105.303393,8,19.599745
-22.276865,8,19.619904
-156.175959,8,19.627654
-96.529711,8,19.631399
-20.985788,8,19.631399
-31.750899,8,19.647239
-88.162759,8,19.647239
-87.178686,8,19.663077
-71.793663,8,19.668823
-17.978116,8,19.676307
-101.720143,8,19.6848
-89.876716,8,19.6848
-55.319768,8,19.700533
-126.712777,8,19.708282
-127.740147,8,19.713842
-65.522651,8,19.721852
-217.720271,8,19.725856
-277.47911,8,19.733488
-126.271856,8,19.738973
-28.324329,8,19.745781
-44.701737,8,19.753851
-158.300941,8,19.757868
-43.395959,8,19.757868
-37.923288,8,19.775424
-83.090284,8,19.775424
-232.224049,8,19.977803
-239.354039,8,19.982799
-146.45342,8,19.993385
-27.843492,8,19.996384
-76.907547,8,20.003774
-15.946548,8,20.013044
-172.48122,8,20.020037
-100.455683,8,20.026755
-50.817944,8,20.032756
-94.29373,8,20.040321
-42.646019,8,20.050326
-80.107566,8,20.058299
-40.487583,8,20.064899
-245.522673,8,20.070914
-199.450122,8,20.078575
-55.810955,8,20.084797
-102.209165,8,20.090544
-72.366376,8,20.096172
-62.21253,8,20.103397
-43.673174,8,20.106402
-100.230264,8,20.106402
-27.919821,8,20.122183
-134.269807,8,20.128059
-20.326911,8,20.143992
-35.97395,8,20.152001
-28.768255,8,20.15775
-130.02025,8,20.159754
-71.850328,8,20.171784
-19.519878,8,20.177802
-73.235124,8,20.183819
-39.029929,8,20.189578
-184.297503,8,20.19359
-130.229821,8,20.383032
-56.150707,8,20.391297
-44.894623,8,20.395769
-37.194515,8,20.411938
-37.808347,8,20.412497
-196.74464,8,20.428488
-45.331669,8,20.435961
-94.582828,8,20.445699
-110.152108,8,20.455955
-88.117461,8,20.462465
-134.304129,8,20.462465
-44.732233,8,20.478611
-20.001514,8,20.485611
-33.967252,8,20.492479
-38.860239,8,20.499476
-274.079891,8,20.50648
-13.038647,8,20.50648
-9.359799,8,20.527296
-84.852136,8,20.535314
-105.959751,8,20.541702
-135.507914,8,20.541702
-63.380615,8,20.558706
-107.09138,8,20.569088
-44.332774,8,20.569088
-92.690317,8,20.569088
-57.853537,8,20.585109
-19.442475,8,20.585109
-85.401205,8,20.585109
-137.660806,8,20.603044
-81.472132,8,20.603044
-179.586363,8,20.61666
-172.508251,8,20.61666
-29.277788,8,20.789302
-13.308893,8,20.795733
-20.160548,8,20.803774
-86.481558,8,20.811031
-203.198761,8,20.812505
-65.06488,8,20.824734
-27.015395,8,20.831231
-121.471984,8,20.839309
-85.219916,8,20.853054
-133.372602,8,20.868578
-44.811892,8,20.877547
-90.000116,8,20.88555
-107.366325,8,20.896208
-82.401319,8,20.903213
-25.368842,8,20.911213
-43.092931,8,20.912571
-99.983664,8,20.9267
-14.009964,8,20.930174
-205.484854,8,20.941414
-6.830482,8,20.947412
-20.89045,8,20.953428
-56.560943,8,20.963064
-8.128548,8,20.970055
-123.787457,8,20.975626
-92.878491,8,20.981635
-125.67331,8,20.981635
-173.073581,8,20.989141
-112.335014,8,20.989141
-92.508526,8,21.00508
-160.033437,8,21.00508
-49.252726,8,21.00508
-20.590325,8,21.021218
-104.97342,8,21.194518
-99.766859,8,21.205876
-38.691712,8,21.210594
-89.933173,8,21.231115
-89.908182,8,21.240219
-47.952558,8,21.248699
-161.977429,8,21.259367
-92.430261,8,21.26398
-91.274638,8,21.282995
-151.585898,8,21.293069
-48.663485,8,21.306852
-20.334404,8,21.314512
-93.981466,8,21.325768
-109.38956,8,21.332139
-180.901571,8,21.351813
-49.208466,8,21.367215
-41.362309,8,21.379051
-115.380718,8,21.387071
-97.927702,8,21.395777
-92.229447,8,21.411077
-165.233056,8,21.422621
-136.56499,8,21.429126
-124.174323,8,21.445954
-102.03555,8,21.445954
-72.118498,8,21.46121
-74.095476,8,21.466216
-145.703121,8,21.472207
-49.639454,8,21.482023
-103.517979,8,21.487034
-56.00671,8,21.489934
-158.039683,8,21.489934
4.112395,8,21.489934
-52.896308,8,21.651865
-23.042047,8,21.6656
-224.780615,8,21.6656
-14.024484,8,21.688319
-130.77163,8,21.688319
-68.780836,8,21.697911
-28.511643,8,21.697911
-59.007593,8,21.719636
